Name,Caution,HasMDN,Url1,Url2,Url3
Accept,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-5.3.2,,
Accept-Charset,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-5.3.3,,
Accept-Encoding,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-5.3.4,,
Accept-Language,,TRUE,https://www.rfc-editor.org/info/bcp47,https://datatracker.ietf.org/doc/html/rfc7231#section-5.3.5,
Accept-Push-Policy,?,FALSE,https://datatracker.ietf.org/doc/html/draft-ruellan-http-accept-push-policy-00#section-3.1,,
Accept-Signature,?,FALSE,https://wicg.github.io/webpackage/draft-yasskin-http-origin-signed-responses.html#rfc.section.3.7,,
Access-Control-Request-Headers,,TRUE,https://fetch.spec.whatwg.org/#http-access-control-request-headers,,
Access-Control-Request-Method,,TRUE,https://fetch.spec.whatwg.org/#http-access-control-request-method,,
Allow,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-7.4.1,,
Authorization,,TRUE,https://datatracker.ietf.org/doc/html/rfc7235#section-4.2,https://datatracker.ietf.org/doc/html/rfc7617,
Cache-Control,,TRUE,https://datatracker.ietf.org/doc/html/rfc5861,https://datatracker.ietf.org/doc/html/rfc7234,https://datatracker.ietf.org/doc/html/rfc8246
Connection,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-6.1,,
Content-Encoding,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-14.11,https://datatracker.ietf.org/doc/html/rfc7231#section-3.1.2.2,https://datatracker.ietf.org/doc/html/rfc7932
Content-Language,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-3.1.3.2,,
Content-Length,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-3.3.2,,
Content-Location,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-3.1.4.2,,
ContentMd5,,,,,
ContentRange,,,,,
Content-Type,,TRUE,https://datatracker.ietf.org/doc/html/rfc7233#section-4.1,https://datatracker.ietf.org/doc/html/rfc7231#section-3.1.1.5,
Cookie,,TRUE,https://datatracker.ietf.org/doc/html/rfc6265#section-5.4,,
Cookie2,This feature is no longer recommended.,TRUE,https://datatracker.ietf.org/doc/html/rfc2965,,
Date,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-7.1.1.2,,
Device-Memory,This is an experimental technology,TRUE,https://w3c.github.io/device-memory/#sec-device-memory-client-hint-header,,
DNT,This feature is no longer recommended.,TRUE,https://www.w3.org/TR/tracking-dnt/#dnt-header-field,,
Downlink,This is an experimental technology,TRUE,https://wicg.github.io/netinfo/#downlink-request-header-field,,
DPR,This feature is no longer recommended.,TRUE,?,,
Early-Data,This is an experimental technology,TRUE,https://datatracker.ietf.org/doc/html/rfc8470#section-5.1,,
ECT,This is an experimental technology,TRUE,https://wicg.github.io/netinfo/#ect-request-header-field,,
Expect,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-5.1.1,,
Expires,,,,,
Forwarded,,TRUE,https://www.rfc-editor.org/rfc/rfc7239#section-4,,
From,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-5.5.1,,
Host,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-5.4,,
If-Match,,TRUE,https://datatracker.ietf.org/doc/html/rfc7232#section-3.1,,
If-Modified-Since,,TRUE,https://datatracker.ietf.org/doc/html/rfc7232#section-3.3,,
If-None-Match,,TRUE,https://datatracker.ietf.org/doc/html/rfc7232#section-3.2,,
If-Range,,TRUE,https://datatracker.ietf.org/doc/html/rfc7233#section-3.2,,
If-Unmodified-Since,,TRUE,https://datatracker.ietf.org/doc/html/rfc7232#section-3.4,,
Keep-Alive,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#appendix-A.1.2,,
Last-Event-ID,?,FALSE,?,,
Last-Modified,,TRUE,https://datatracker.ietf.org/doc/html/rfc7232#section-2.2,,
Link,,TRUE,https://datatracker.ietf.org/doc/html/rfc5988#section-5,,
Max-Forwards,?,FALSE,?,,
Origin,,TRUE,https://datatracker.ietf.org/doc/html/rfc6454#section-7,https://fetch.spec.whatwg.org/#origin-header,
Origin-Isolation,?,FALSE,?,,
Ping-From,?,FALSE,?,,
Ping-To,?,FALSE,?,,
Pragma,,TRUE,https://datatracker.ietf.org/doc/html/rfc7234#section-5.4,,
Proxy-Authorization,,TRUE,https://datatracker.ietf.org/doc/html/rfc7235#section-4.4,https://datatracker.ietf.org/doc/html/rfc7617,
Push-Policy,?,FALSE,https://datatracker.ietf.org/doc/html/draft-ruellan-http-accept-push-policy-00#section-3.2,,
Range,,TRUE,https://datatracker.ietf.org/doc/html/rfc7233#section-3.1,,
Referer,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-5.5.2,,
Report-To,?,FALSE,?,,
RTT,This is an experimental technology,TRUE,https://wicg.github.io/netinfo/#rtt-request-header-field,,
Save-Data,This is an experimental technology,TRUE,https://wicg.github.io/savedata/#save-data-request-header-field,,
Sec-CH-UA,This is an experimental technology,TRUE,https://wicg.github.io/ua-client-hints/#sec-ch-ua,,
Sec-CH-UA-Arch,This is an experimental technology,TRUE,https://wicg.github.io/ua-client-hints/#sec-ch-ua-arch,,
