Name,Caution,HasMDN,Url1,Url2,Url3
Accept-CH,This is an experimental technology,TRUE,?,,
Accept-CH-Lifetime,This feature is no longer recommended.,TRUE,?,,
Accept-Patch,,TRUE,https://datatracker.ietf.org/doc/html/rfc5789#section-3.1,,
Accept-Post,,TRUE,https://www.w3.org/TR/ldp/#header-accept-post,,
Accept-Ranges,,TRUE,https://datatracker.ietf.org/doc/html/rfc7233#section-2.3,,
Access-Control-Allow-Credentials,,TRUE,https://fetch.spec.whatwg.org/#http-access-control-allow-credentials,,
Access-Control-Allow-Headers,,TRUE,https://fetch.spec.whatwg.org/#http-access-control-allow-headers,,
Access-Control-Allow-Methods,,TRUE,https://fetch.spec.whatwg.org/#http-access-control-allow-methods,,
Access-Control-Allow-Origin,,TRUE,https://fetch.spec.whatwg.org/#http-access-control-allow-origin,,
Access-Control-Expose-Headers,,TRUE,https://fetch.spec.whatwg.org/#http-access-control-expose-headers,,
Access-Control-Max-Age,,TRUE,https://fetch.spec.whatwg.org/#http-access-control-max-age,,
Age,,TRUE,https://datatracker.ietf.org/doc/html/rfc7234#section-5.1,,
Allow,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-7.4.1,,
Alt-Svc,,TRUE,https://datatracker.ietf.org/doc/html/rfc7838,,
Cache-Control,,TRUE,https://datatracker.ietf.org/doc/html/rfc5861,https://datatracker.ietf.org/doc/html/rfc7234,https://datatracker.ietf.org/doc/html/rfc8246
Clear-Site-Data,,TRUE,https://w3c.github.io/webappsec-clear-site-data/,,
Connection,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-6.1,,
Content-Disposition,,TRUE,https://datatracker.ietf.org/doc/html/rfc2183,https://datatracker.ietf.org/doc/html/rfc6266,https://datatracker.ietf.org/doc/html/rfc7578
Content-DPR,This feature is no longer recommended.,TRUE,,,
Content-Encoding,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-14.11,https://datatracker.ietf.org/doc/html/rfc7231#section-3.1.2.2,https://datatracker.ietf.org/doc/html/rfc7932
Content-Language,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-3.1.3.2,,
Content-Length,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-3.3.2,,
Content-Location,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-3.1.4.2,,
ContentMd5,,,,,
Content-Range,,TRUE,https://datatracker.ietf.org/doc/html/rfc7233#section-4.2,,
