Code,Name,OldName,Note,Caution,HasMDN,Url1,Url2
100,Continue,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.1.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.2.1
101,Switching Protocols,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.1.2,https://datatracker.ietf.org/doc/html/rfc7231#section-6.2.2
102,Processing,,WebDAV,,FALSE,https://datatracker.ietf.org/doc/html/rfc2518#section-10.1,
103,Early Hints,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc8297#section-2,
,,,,,,,
200,OK,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.1
201,Created,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.2,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.2
202,Accepted,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.3,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.3
203,Non-Authoritative Information,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.4,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.4
204,No Content,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.5,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.5
205,Reset Content,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.6,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.6
206,Partial Content,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.7,https://datatracker.ietf.org/doc/html/rfc7233#section-4.1
207,Multi-Status,,WebDAV,,FALSE,https://datatracker.ietf.org/doc/html/rfc2518#section-10.2,https://datatracker.ietf.org/doc/html/rfc4918#section-11.1
208,Already Reported,,WebDAV,,FALSE,https://datatracker.ietf.org/doc/html/rfc5842#section-7.1,
226,IM Used,,HTTP Delta encoding,,FALSE,https://datatracker.ietf.org/doc/html/rfc3229#section-10.4.1,
,,,,,,,
300,Multiple Choice,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.1
301,Moved Permanently,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.2,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.2
302,Found,Moved Temporarily,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.3,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.3
303,See Other,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.4,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.4
304,Not Modified,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.5,https://datatracker.ietf.org/doc/html/rfc7232#section-4.1
305,Use Proxy,,,It has been deprecated due to security concerns regarding in-band configuration of a proxy.,FALSE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.6,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.5
306,unused,,,This response code is no longer used; it is just reserved.,FALSE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.7,
307,Temporary Redirect,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.8,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.7
308,Permanent Redirect,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc7238,https://datatracker.ietf.org/doc/html/rfc7538#section-3
,,,,,,,
400,Bad Request,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.1
401,Unauthorized,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.2,https://datatracker.ietf.org/doc/html/rfc7235#section-3.1
402,Payment Required,,,This response code is reserved for future use.,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.3,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.2
403,Forbidden,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.4,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.3
404,Not Found,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.5,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.4
405,Method Not Allowed,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.6,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.5
406,Not Acceptable,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.7,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.6
407,Proxy Authentication Required,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.8,https://datatracker.ietf.org/doc/html/rfc7235#section-3.2
408,Request Timeout,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.9,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.7
409,Conflict,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.10,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.8
410,Gone,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.11,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.9
411,Length Required,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.12,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.10
412,Precondition Failed,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.13,https://datatracker.ietf.org/doc/html/rfc7232#section-4.2
413,Payload Too Large,Request Entity Too Large,,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.11,
414,URI Too Long,Request-URI Too Long,,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.12,
415,Unsupported Media Type,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.16,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.13
416,Range Not Satisfiable,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.17,https://datatracker.ietf.org/doc/html/rfc7233#section-4.4
417,Expectation Failed,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.18,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.14
