Code,Name,Note,Url1,Url2
100,Continue,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.1.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.2.1
101,Switching Protocols,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.1.2,https://datatracker.ietf.org/doc/html/rfc7231#section-6.2.2
102,Processing,WebDAV,https://datatracker.ietf.org/doc/html/rfc2518#section-10.1,
103,Early Hints,RFC,https://datatracker.ietf.org/doc/html/rfc8297#section-2,
200,OK,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.1
201,Created,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.2,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.2
202,Accepted,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.3,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.3
203,Non-Authoritative Information,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.4,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.4
204,No Content,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.5,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.5
205,Reset Content,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.6,https://datatracker.ietf.org/doc/html/rfc7231#section-6.3.6
206,Partial Content,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.2.7,https://datatracker.ietf.org/doc/html/rfc7233#section-4.1
207,Multi-Status,WebDAV,https://datatracker.ietf.org/doc/html/rfc4918#section-11.1,
208,Already Reported,WebDAV,https://datatracker.ietf.org/doc/html/rfc5842#section-7.1,
226,IM Used,HTTP Delta encoding,https://datatracker.ietf.org/doc/html/rfc3229#section-10.4.1,
300,Multiple Choice,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.1
301,Moved Permanently,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.2,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.2
302,Found,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.3,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.3
303,See Other,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.4,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.4
304,Not Modified,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.5,https://datatracker.ietf.org/doc/html/rfc7232#section-4.1
305,Use Proxy,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.6,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.5
306,unused,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.7,
307,Temporary Redirect,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.3.8,https://datatracker.ietf.org/doc/html/rfc7231#section-6.4.7
308,Permanent Redirect,RFC,https://datatracker.ietf.org/doc/html/rfc7238,https://datatracker.ietf.org/doc/html/rfc7538#section-3
400,Bad Request,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.1
401,Unauthorized,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.2,https://datatracker.ietf.org/doc/html/rfc7235#section-3.1
402,Payment Required,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.3,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.2
403,Forbidden,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.4,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.3
404,Not Found,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.5,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.4
405,Method Not Allowed,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.6,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.5
406,Not Acceptable,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.7,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.6
